X,Y,Z
2.2483570765056164,1.9308678494144076,1.2923146289747929
2.3238442690503462,2.761514928204013,1.7896773386173206
1.882923312638332,1.8829315215254097,1.8286427417366153
2.7896064077536957,2.3837173645764542,1.5988613653891905
1.765262807032524,2.2712800217929825,1.9193571441669954
1.7682911535937689,1.7671351232148715,2.202025428407269
2.1209811357830173,1.043359877671101,2.943092950605265
1.1375410837434836,1.7188562353795136,2.0872889064159197
1.4935844398327882,2.157123666297637,2.1287751953613823
1.5459879622393946,1.2938481493323541,1.9627770421169164
2.732824384460777,1.887111849756732,1.0406143923504794
2.033764102343962,1.2876259068932716,1.9867430622753917
1.7278086377374087,2.055461294854933,2.030115104970513
1.4245032112888487,2.1878490091728358,3.231621056242643
1.6996806550405976,1.8541531251033616,1.9038195176094388
1.6991466938853015,2.926139092254469,2.150773671166806
1.993251387631033,1.4711445355220498,1.9826441151473784
2.4112724560515946,1.3895781750144889,1.4156609811902339
2.104431797502378,1.020164938060112,2.5714114072575103
1.3359069755507846,2.0984306179345618,2.375966516343387
2.3692332899977053,2.085684140594985,2.3955159735215235
1.9421758588058797,1.8494481522053556,1.5453062726026305
1.2607390048162863,1.6400778958026456,2.7013971554680496
1.7696806145201063,2.5285611131094576,1.2990744686038596
2.1718091447842305,1.118479922318633,2.293428546900135
8.162041984697398,7.807458859791842,9.095227812904989
7.6615389998470205,8.305838144420434,7.504731837434655
8.515499761247975,8.4656400595581,7.716851135198614
7.580391238388681,7.845393812074393,8.04982568254382
8.165631715701782,8.48777256356118,7.7482621729419
7.760412881077355,7.907170511668092,7.224668284466934
7.446832512996986,7.401896687959665,8.034281487403014
8.4062629111971,8.678120014285412,7.468848143136947
7.963994939209833,8.501766448946013,8.236796215317591
8.180818012523817,7.677440122697438,7.540287882883098
8.180697802754207,8.769018283232985,8.774967202508769
7.9820869804450245,8.782321827907003,7.608373353831881
6.690127447955128,8.410951252187612,7.838969241897162
8.043523534119085,7.850496324767066,8.406758608684834
8.04588038826775,7.006215542699554,7.3845678417830225
7.890164056081244,8.178556285755873,8.113729967302065
8.738947022370757,7.740864890863176,8.653571377141214
7.595753198553406,7.749121478207732,7.196258382719386
8.457701058851036,8.164375554829842,8.092316929266152
7.735119898116481,8.256633716556678,8.129941397124211
8.04853877467402,8.484322495266445,8.390911435888656
7.648973453061323,7.836168926701116,7.381524644560959
7.803945923433921,7.268242525933941,7.339771693457862
8.148060138532289,8.130527636089944,8.26097078280845
8.002556728321231,7.882706433312427,8.148492336616593
